a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
6	12	268-G30	B05	2313	0.889587	0.000054	0.000007	0.000005	0.004268	0.08961	0	0.003909	0.012561	0.015795	0.106079	0.020742	0.014711	0.012561	0.014694	0.003916	0.012561	0.016476	0.065578	0.044803	-2901.601995	82	-1	0.559777	"5.682520e-01,1.693179e-01,1.752162e-02,1.243446e-01,6.271131e-02,1.420081e-02,2.304976e-02,1.291304e-02,7.688888e-03"	0.646955	0.173548	-0.041308	-3205.639132	7
6	13	268-G30	B03	2637	0.865688	0	0	0.027614	0	0.038824	0	0.067874	0	0	0.106698	0.095488	0	0	0	0.067874	0	0.067874	0.101093	0.005605	-3279.973134	110	-1	0.63819	"5.748634e-01,1.420791e-01,3.107194e-02,1.414465e-01,5.279216e-02,1.243900e-02,2.859479e-02,1.075503e-02,5.958088e-03"	1.130219	0.144089	-0.161389	-3656.747615	7
6	14	268-G30	281-G83	2674	0.834294	0.000004	0	0.060733	0	0.093785	0.000015	0.01117	0	0.000013	0.104969	0.071903	0.000008	0.000007	0	0.01117	0	0.01117	0.088445	0.016526	-3329.666157	66	-1	0.647144	"5.760752e-01,1.468716e-01,2.501363e-02,1.441079e-01,5.133109e-02,1.128973e-02,2.472443e-02,1.388623e-02,6.700204e-03"	0.968966	0.14029	-0.114955	-3689.235182	9
6	15	268-G30	281-G77	2663	0.799332	0.02365	0.000234	0.073709	0	0.089646	0.013347	0.000079	0.000003	0.022072	0.103075	0.073791	0.012706	0.006676	0.000003	0.000313	0.000003	0.000316	0.107165	0.007969	-3336.813101	118	-1	0.644482	"5.811580e-01,1.439278e-01,2.358619e-02,1.399245e-01,5.624722e-02,9.958110e-03,2.220322e-02,1.631057e-02,6.684407e-03"	0.814074	0.158038	-0.083602	-3658.833841	7
6	16	268-G30	281-G96	2671	0.895061	0	0	0.000011	0	0.04642	0	0.058508	0	0	0.104928	0.058519	0	0	0	0.058508	0	0.058508	0.081723	0.023205	-3326.82727	66	-1	0.646418	"5.795117e-01,1.457337e-01,2.373839e-02,1.336713e-01,6.129817e-02,1.055451e-02,2.586723e-02,1.294812e-02,6.676936e-03"	0.809251	0.173889	-0.089102	-3703.182764	7
6	17	268-G30	P9	2677	0.8724	0	0	0.024551	0	0.052353	0	0.050696	0	0	0.10305	0.075247	0	0	0	0.050696	0	0.050696	0.089148	0.013901	-3363.634039	82	-1	0.64787	"5.725125e-01,1.485673e-01,2.725720e-02,1.333470e-01,5.864913e-02,1.464210e-02,2.711679e-02,1.240931e-02,5.498603e-03"	0.927106	0.161417	-0.11753	-3735.760926	7
6	18	268-G30	P6	2674	0.844126	0	0	0.046989	0	0.10886	0.000009	0.000016	0	0.000007	0.108885	0.047005	0.000005	0.000005	0	0.000016	0	0.000016	0.07795	0.030935	-3403.454963	402	-1	0.647144	"5.591562e-01,1.632522e-01,2.789168e-02,1.419084e-01,4.989356e-02,1.276925e-02,2.477708e-02,1.713314e-02,3.218531e-03"	1.055622	0.128681	-0.127501	-3761.552897	10
6	19	268-G30	P11	2674	0.84918	0	0	0.042405	0	0.072718	0	0.035697	0	0	0.108415	0.078102	0	0	0	0.035697	0	0.035697	0.093259	0.015156	-3321.552978	78	-1	0.647144	"5.741182e-01,1.465435e-01,2.826017e-02,1.388159e-01,5.255413e-02,1.391999e-02,2.563923e-02,1.501293e-02,5.135942e-03"	1.025598	0.142736	-0.131723	-3718.399416	9
6	20	268-G30	P1	2666	0.888627	0.00003	0	0.001365	0	0.096745	0	0.013233	0	0.000015	0.109978	0.014598	0.000007	0	0	0.013233	0	0.013233	0.062303	0.04769	-3372.627065	122	-1	0.645208	"5.688224e-01,1.587448e-01,2.242863e-02,1.306678e-01,5.994668e-02,1.422544e-02,2.386035e-02,1.697630e-02,4.327678e-03"	0.772169	0.163386	-0.074077	-3714.411489	10
6	21	268-G30	P10	2684	0.887104	0	0	0.000928	0.001336	0.100719	0	0.009913	0	0.001002	0.110632	0.012177	0.000668	0	0.000668	0.009913	0	0.009913	0.062073	0.049896	-3289.346253	126	-1	0.649564	"5.807647e-01,1.488509e-01,1.989207e-02,1.311585e-01,6.010346e-02,1.321940e-02,2.744133e-02,1.532341e-02,3.246172e-03"	0.787532	0.168884	-0.080612	-3672.410231	9
6	22	268-G30	P15	2683	0.849294	0	0	0.034599	0.009997	0.083992	0	0.022105	0.000014	0.007512	0.106111	0.066715	0.005013	0.000014	0.005013	0.022105	0.000014	0.022119	0.091411	0.024697	-3292.773254	98	-1	0.649322	"5.877865e-01,1.396180e-01,2.098615e-02,1.366118e-01,5.494778e-02,1.442837e-02,2.667869e-02,1.459787e-02,4.344823e-03"	0.867457	0.155694	-0.09727	-3649.34025	9
6	23	268-G30	P16	2680	0.80143	0.001367	0	0.087873	0.001806	0.107523	0	0	0	0.002039	0.107524	0.089679	0.001245	0.000001	0.000903	0.000001	0	0.000001	0.100189	0.009825	-3385.884018	78	-1	0.648596	"5.768907e-01,1.454699e-01,2.605309e-02,1.360760e-01,5.564514e-02,1.423063e-02,2.312357e-02,1.656198e-02,5.949016e-03"	0.883755	0.153922	-0.100815	-3718.699895	9
6	24	268-G30	P17	2666	0.737789	0.000104	0	0.143001	0.008097	0.108906	0.001956	0.000149	0	0.007591	0.11101	0.151246	0.005052	0.000978	0.004048	0.000149	0	0.000149	0.136206	-0.017047	-3299.743553	82	-1	0.645208	"5.907611e-01,1.298171e-01,2.872132e-02,1.365797e-01,4.729575e-02,2.083886e-02,2.606130e-02,1.476011e-02,5.164714e-03"	1.158299	0.132563	-0.157013	-3657.901302	9
6	25	268-G30	B08	2264	0.849521	0.020162	0.00005	0.041317	0	0.081108	0	0.007842	0	0.010131	0.08895	0.049159	0.005065	0	0	0.007891	0	0.007891	0.079185	0.019896	-2806.310735	86	-1	0.547919	"5.827363e-01,1.434270e-01,2.071426e-02,1.390581e-01,5.814992e-02,1.353407e-02,2.331249e-02,1.308041e-02,5.987440e-03"	0.757125	0.164672	-0.070295	-3117.585215	7
6	26	268-G30	B07	2180	0.804398	0.000157	0	0.096872	0.000659	0.097914	0	0	0	0.000572	0.097914	0.097531	0.000369	0	0.000329	0	0	0	0.09813	0.000521	-2745.778446	90	-1	0.52759	"5.781418e-01,1.487690e-01,2.597514e-02,1.291297e-01,5.144515e-02,2.419215e-02,2.565180e-02,1.380491e-02,2.890280e-03"	1.003534	0.139978	-0.123712	-3049.190918	7
6	27	268-G30	B10	2657	0.814289	0.000035	0	0.080984	0	0.098831	0.004831	0.001029	0	0.003641	0.104692	0.082013	0.002424	0.002416	0	0.001029	0	0.00103	0.095786	0.008924	-3335.773543	62	-1	0.64303	"5.761664e-01,1.440451e-01,2.865619e-02,1.372229e-01,5.446957e-02,1.396451e-02,2.133411e-02,1.864835e-02,5.492812e-03"	0.917766	0.149695	-0.107637	-3698.391891	10
6	28	268-G30	B04	2499	0.889212	0	0	0.009587	0.003886	0.07006	0	0.027255	0	0.002915	0.097315	0.040728	0.001943	0	0.001943	0.027255	0	0.027255	0.070965	0.030236	-3120.199348	102	-1	0.604792	"5.752111e-01,1.544601e-01,2.139742e-02,1.358362e-01,5.587714e-02,1.364569e-02,2.505824e-02,1.226963e-02,6.244442e-03"	0.831389	0.154073	-0.086535	-3454.122956	9
6	29	268-G30	268-G18	2662	0.844983	0	0	0.051748	0	0.042571	0	0.060697	0	0	0.103269	0.112445	0	0	0	0.060697	0	0.060698	0.107857	-0.004588	-3255.558816	66	-1	0.64424	"5.904530e-01,1.335724e-01,2.518019e-02,1.400091e-01,5.285407e-02,1.309100e-02,2.675076e-02,1.217458e-02,5.914923e-03"	0.982535	0.150677	-0.126084	-3615.893769	10
