a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
12	14	281-G46	281-G52	4227	0.881254	0	0	0.038119	0	0.065149	0	0.015477	0.000002	0.000002	0.080627	0.053597	0.000002	0.000002	0.000002	0.015477	0.000002	0.015478	0.067112	0.013515	-5456.896174	110	-1	0.965509	"5.396754e-01,1.573655e-01,2.763961e-02,1.476338e-01,6.037949e-02,1.655761e-02,3.003623e-02,1.549583e-02,5.216592e-03"	0.955222	0.152965	-0.120076	-6105.701958	9
12	15	281-G46	281-G53	4304	0.922735	0	0	0.000011	0	0.017124	0.000001	0.060128	0	0.000001	0.077254	0.060139	0.000001	0.000001	0	0.060128	0	0.060128	0.068697	0.008557	-5561.656157	98	-1	0.983097	"5.367630e-01,1.544222e-01,3.121931e-02,1.444077e-01,6.619924e-02,1.529072e-02,2.913299e-02,1.655496e-02,6.009813e-03"	0.911677	0.169295	-0.117703	-6274.276568	6
12	16	281-G46	281-G45	4140	0.926154	0	0	0.000139	0	0.06139	0	0.012317	0	0	0.073708	0.012456	0	0	0	0.012317	0	0.012317	0.043082	0.030626	-5350.29788	154	-1	0.945637	"5.310939e-01,1.658797e-01,2.819026e-02,1.461654e-01,6.391897e-02,1.438200e-02,2.808655e-02,1.817908e-02,4.104233e-03"	0.88044	0.159446	-0.102943	-6036.770601	6
13	14	281-G47	281-G52	4152	0.947969	0	0	0.013486	0	0.000053	0	0.03849	0.000001	0.000001	0.038545	0.051978	0.000001	0.000001	0.000001	0.03849	0.000001	0.038491	0.045261	-0.006716	-5362.5904	126	-1	0.948378	"5.303786e-01,1.502361e-01,2.670990e-02,1.568765e-01,6.826946e-02,1.749502e-02,3.131508e-02,1.404255e-02,4.676816e-03"	0.849941	0.172104	-0.100551	-6079.652588	7
13	15	281-G47	281-G53	4228	0.937572	0	0	0.032927	0	0.009369	0	0.020132	0	0	0.029501	0.053059	0	0	0	0.020132	0	0.020133	0.04128	-0.011779	-5464.612761	122	-1	0.965738	"5.322506e-01,1.475407e-01,2.865803e-02,1.511414e-01,7.333433e-02,1.826185e-02,2.593752e-02,1.777954e-02,5.096003e-03"	0.744475	0.188366	-0.074486	-6209.897026	9
13	16	281-G47	281-G45	4070	0.969967	0	0	0.000002	0	0.012401	0	0.01763	0	0	0.030031	0.017632	0	0	0	0.01763	0	0.01763	0.023831	0.0062	-5285.199724	130	-1	0.929648	"5.289650e-01,1.558326e-01,2.320809e-02,1.490773e-01,7.666271e-02,1.795484e-02,2.718284e-02,1.578823e-02,5.328415e-03"	0.657307	0.197054	-0.049025	-5994.089544	7
14	15	281-G52	281-G53	4205	0.89335	0	0	0.053837	0	0.05274	0	0.000071	0.000001	0.000002	0.052813	0.053909	0.000001	0.000001	0.000001	0.000071	0.000001	0.000073	0.053361	-0.000548	-5469.657282	82	-1	0.960484	"5.347967e-01,1.540142e-01,2.860080e-02,1.481362e-01,6.504750e-02,2.026595e-02,2.673823e-02,1.893139e-02,3.469112e-03"	0.850748	0.163977	-0.096789	-6143.083021	9
14	16	281-G52	281-G45	4053	0.94751	0	0	0.000007	0	0.036492	0	0.015991	0	0	0.052483	0.015998	0	0	0	0.015991	0	0.015991	0.034241	0.018242	-5278.290921	74	-1	0.925765	"5.254671e-01,1.659609e-01,2.557600e-02,1.537578e-01,6.514237e-02,1.424535e-02,2.729863e-02,1.620189e-02,6.349952e-03"	0.811678	0.161627	-0.084518	-5950.045734	9
15	16	281-G53	281-G45	4124	0.950576	0	0	0.000007	0	0.029071	0	0.020345	0.000002	0.000002	0.049417	0.020353	0.000002	0.000002	0.000002	0.020345	0.000002	0.020346	0.034885	0.014532	-5384.92382	78	-1	0.941983	"5.296794e-01,1.563987e-01,2.290928e-02,1.482016e-01,7.352501e-02,1.743963e-02,2.759773e-02,1.778475e-02,6.463889e-03"	0.686936	0.188365	-0.05646	-6082.882705	7
																																		
																																		
