a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
61	77	Y14	281-G63	3722	0.897431	0.016472	0.000037	0.013388	0.001336	0.067842	0	0.003487	0.000008	0.009283	0.071336	0.018218	0.004812	0.000008	0.000676	0.003524	0.000008	0.003531	0.053718	0.027227	-4646.783593	94	-1	0.706262	"5.664572e-01,1.461183e-01,1.950741e-02,1.395343e-01,6.732738e-02,1.540591e-02,2.547778e-02,1.585045e-02,4.321270e-03"	0.668156	0.186042	-0.050144	-5205.207654	7
61	78	Y14	287-G36	3167	0.911252	0.000001	0.000001	0.000272	0	0.000002	0.004533	0.083938	0	0.003401	0.088473	0.08421	0.002267	0.002267	0	0.083939	0	0.083939	0.08861	-0.000135	-3973.97832	106	-1	0.600949	"5.689030e-01,1.402389e-01,2.580969e-02,1.422204e-01,6.375746e-02,1.253664e-02,3.072311e-02,9.095721e-03,6.715063e-03"	0.886685	0.176797	-0.114243	-4416.868655	7
62	63	Y11	Y17	4654	0.868112	0.000025	0	0.046961	0.003429	0.072156	0	0.004294	0.005023	0.007607	0.081473	0.059707	0.006744	0.005023	0.006737	0.004294	0.005023	0.009317	0.072317	0.012598	-5973.543555	86	-1	0.883112	"5.560918e-01,1.568037e-01,2.505265e-02,1.400757e-01,6.020798e-02,1.608763e-02,2.190998e-02,1.675483e-02,7.015653e-03"	0.780007	0.159837	-0.074904	-6610.812352	7
62	64	Y11	Y12	4866	0.831497	0.000003	0	0.076086	0	0.092178	0	0.000234	0.000001	0.000002	0.092413	0.076321	0.000002	0.000001	0.000001	0.000234	0.000001	0.000235	0.084369	0.008046	-6064.701625	70	-1	0.92334	"5.763510e-01,1.362100e-01,2.564200e-02,1.416220e-01,5.782490e-02,1.506191e-02,2.467251e-02,1.793469e-02,4.680966e-03"	0.870118	0.160116	-0.100366	-6780.372011	6
62	65	Y11	Y16	4918	0.834096	0.000134	0.000694	0.071119	0	0.079825	0	0.014132	0	0.000761	0.093957	0.085251	0.00038	0	0	0.014826	0	0.014826	0.090365	0.004353	-6179.025141	138	-1	0.933207	"5.730145e-01,1.382214e-01,2.672750e-02,1.386137e-01,5.994781e-02,1.624003e-02,2.575473e-02,1.546591e-02,6.014405e-03"	0.875465	0.16605	-0.105072	-6886.932759	9
62	66	Y11	281-G59	5009	0.828726	0	0	0.06621	0.013419	0.06832	0.00405	0.019275	0.000001	0.013102	0.091645	0.098904	0.008735	0.002026	0.00671	0.019275	0.000001	0.019275	0.104009	0.001055	-6250.651988	74	-1	0.950474	"5.777496e-01,1.344681e-01,2.550498e-02,1.400440e-01,5.916864e-02,1.600560e-02,2.661322e-02,1.590380e-02,4.542079e-03"	0.880842	0.165027	-0.106102	-6936.02893	7
62	67	Y11	Y22	4977	0.838301	0.000404	0.000061	0.070046	0	0.066222	0	0.020205	0.004761	0.005024	0.091188	0.095012	0.004892	0.004761	0.004761	0.020266	0.004761	0.025027	0.093363	-0.001912	-6450.473293	126	-1	0.944402	"5.596101e-01,1.511297e-01,2.845471e-02,1.375064e-01,5.884314e-02,1.751131e-02,2.593941e-02,1.440838e-02,6.596835e-03"	0.924392	0.156936	-0.113967	-7084.807816	6
62	68	Y11	Y23	4818	0.877596	0	0	0.031355	0	0.07882	0.001238	0.010991	0	0.000929	0.09105	0.042346	0.000619	0.000619	0	0.010991	0	0.010991	0.067317	0.023733	-6018.431374	90	-1	0.914231	"5.648368e-01,1.502524e-01,2.449028e-02,1.488662e-01,5.467372e-02,9.846106e-03,2.565682e-02,1.699694e-02,4.380776e-03"	0.917207	0.145367	-0.1048	-6679.885746	6
62	69	Y11	Y24	4020	0.875535	0.000037	0	0.019468	0.015636	0.089263	0	0.00006	0	0.011746	0.089323	0.035165	0.007828	0	0.007819	0.00006	0	0.00006	0.070081	0.034897	-5112.020717	66	-1	0.762808	"5.621465e-01,1.556328e-01,1.987928e-02,1.370014e-01,6.167371e-02,1.714512e-02,2.566926e-02,1.591993e-02,4.931963e-03"	0.738541	0.166125	-0.065524	-5679.73568	7
62	70	Y11	Y29	4914	0.863919	0.000023	0.000001	0.046043	0	0.079937	0	0.010077	0.000001	0.000013	0.090014	0.05612	0.000007	0.000001	0.000001	0.010078	0.000001	0.010078	0.073079	0.016947	-6146.435197	50	-1	0.932448	"5.667958e-01,1.474955e-01,2.283780e-02,1.399727e-01,5.821465e-02,1.757145e-02,2.870564e-02,1.348403e-02,4.922439e-03"	0.885403	0.157308	-0.103166	-6885.984457	6
